overall_rank,pos_rank,player,position,team,opponent,projected_points,p10,p50,p90,p_plays,inj_status
143,17,Kenyon Sadiq,TE,NYJ,DET,7.172,0.057,6.105,15.065,0.914,0.0
144,61,Marvin Harrison Jr.,WR,ARI,SF,7.167,0.0,5.553,16.996,0.86,0.0
145,62,Ryan Flournoy,WR,DAL,BAL,7.149,0.371,5.662,15.913,0.916,0.0
146,63,Rashid Shaheed,WR,SEA,WAS,7.102,0.221,5.755,15.427,0.938,0.0
147,18,Jake Ferguson,TE,DAL,BAL,7.037,0.0,5.975,15.458,0.925,0.0
148,19,T.J. Hockenson,TE,MIN,TB,7.027,0.072,6.171,14.753,0.913,0.0
149,36,Jonah Coleman,RB,DEN,LA,6.928,0.168,5.456,15.234,0.949,0.0
150,37,Kenny Gainwell,RB,TB,MIN,6.909,0.0,5.386,15.876,0.902,0.0
151,38,Jacory Croskey-Merritt,RB,WAS,SEA,6.897,0.061,5.495,15.459,0.912,0.0
152,20,Kyle Pitts,TE,ATL,GB,6.878,0.157,5.769,14.812,0.915,0.0
153,64,Keon Coleman,WR,BUF,LAC,6.815,0.084,5.283,15.109,0.934,0.0
154,65,Darius Slayton,WR,IND,HOU,6.788,0.2,5.252,15.43,0.948,0.0
155,39,RJ Harvey,RB,DEN,LA,6.771,0.0,4.625,17.804,0.718,0.0
156,40,Tyler Allgeier,RB,ARI,SF,6.738,0.168,5.18,14.817,0.937,0.0
157,21,Dallas Goedert,TE,PHI,CHI,6.737,0.0,5.517,15.03,0.853,0.0
